source_page,source_row,category,description,manufacturer_code,brand,quantity,source_price_cents,sale_price_cents,total_cents,confidence,source_fingerprint,internal_code,slug,issues
5,421,Iluminação,LANTERNA DIANTEIRA CHEVETTE/MAR 83/93 AMBAR LD,,,1,2000,2600,2600,medium,9498da69994f0ee7acc7b1b60f23ca31e9af1087d61e72d3c3de165064c534b2,APM1-0421,lanterna-dianteira-chevette-mar-83-93-ambar-ld-apm1-0421,missing_manufacturer_code
5,422,Iluminação,FAROL AUXILIAR POLICARB C3/C4 LD/LE,29430,RUFATO,2,3500,4550,9100,high,aa59edb8e4797cc22b8fce071fd0bff2d93d55f6976f2b48a720ce3093d9baff,APM1-0422,farol-auxiliar-policarb-c3-c4-ld-le-apm1-0422,
5,423,Iluminação,LANTERNA DIANTEIRA CHEVETTE 83/... AMBAR LD,,,1,2100,2730,2730,medium,a274df04a43c77fba8c899e00f6123653b466e4e636f409d23b38a801f45c98b,APM1-0423,lanterna-dianteira-chevette-83-ambar-ld-apm1-0423,missing_manufacturer_code
5,424,Iluminação,LANTERNA DIANTEIRA SETA CHEVETTE 83/93 LD,,,1,2000,2600,2600,medium,53beae6ddffb02e0ccf22cb38e5756e6357e1557170833562fda9d4332e3c4fb,APM1-0424,lanterna-dianteira-seta-chevette-83-93-ld-apm1-0424,missing_manufacturer_code
5,425,Iluminação,LANTERNA DIANTEIRA CHVETTE 83/... ACRILICO AMBAR LE,,,1,2100,2730,2730,medium,dc5ff45b1a493f93ec1ae9156e22564a2db0840515a4c76253d4028a15279a41,APM1-0425,lanterna-dianteira-chvette-83-acrilico-ambar-le-apm1-0425,missing_manufacturer_code
5,426,Iluminação,LANTERNA TRASEIRA CHEVY/MEREJO TRICOLOR LD,,,1,3500,4550,4550,medium,be863aac4f87da922d692d0bfe61b28c0ba2bbe00a0d24d016fcfc372a787d81,APM1-0426,lanterna-traseira-chevy-merejo-tricolor-ld-apm1-0426,missing_manufacturer_code
5,427,Iluminação,LANTERNA TRASEIRA BOJUDA CAMINHÃO CANETA (AMARELO),,,1,4000,5200,5200,medium,2abd2d10b0e723a2d16cf653c6f3a5cb6463871916d6854f04c906f68fb3f82b,APM1-0427,lanterna-traseira-bojuda-caminhao-caneta-amarelo-apm1-0427,missing_manufacturer_code
5,428,Iluminação,LENTE BOJUDA TRASEIRA JEEP AMBAR (CRISTAL),,,6,900,1170,7020,medium,2ba438838c0586a5548a9b28aa9dba195c04da18dd1edd31cc8e3aa2e225a848,APM1-0428,lente-bojuda-traseira-jeep-ambar-cristal-apm1-0428,missing_manufacturer_code
5,429,Iluminação,LENTE BOJUDA TRASEIRA JEEP AMBAR (AMARELO),,,2,900,1170,2340,medium,033df7283bb9e491dfa935912de60ba73268b6615aca3abffa8c8ef0220d9cb6,APM1-0429,lente-bojuda-traseira-jeep-ambar-amarelo-apm1-0429,missing_manufacturer_code
5,430,Iluminação,LANTERNA DIANTEIRA GOL/PAR/SAV 91/94 LE,,,1,3200,4160,4160,medium,3b17219fb0663a3e4da2dc25b6d5ae941fb772e68eaed0258567656f8710bfb0,APM1-0430,lanterna-dianteira-gol-par-sav-91-94-le-apm1-0430,missing_manufacturer_code
